Country;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Afghanistan;4.00;3.00;5.00;;16.00;15.00;11.00;25.00;35.00;33.00;25.00;23.00;;18.00;12.00;;31.00;28.00;27.00;27.00;48.00;59.00;62.00;66.00;74.00;80.00;81.00;84.00;85.00;84.00;86.00;94.00;101.00;98.00;100.00;109.00;92.00;94.00;100.00;94.43;97.22;93.43;96.01;96.36;
Albania;;94.00;;95.00;95.00;96.00;96.00;96.00;96.00;94.00;94.00;78.00;94.00;96.00;100.00;97.00;98.00;99.00;96.00;97.00;98.00;97.00;98.00;97.20;98.10;99.00;98.00;98.00;99.00;99.00;99.10;99.00;98.80;99.30;98.90;99.10;98.70;99.50;98.90;98.80;98.66;;;98.10;
Algeria;;33.00;;;;;;66.00;;81.00;58.00;82.00;78.00;73.00;75.00;83.00;77.00;79.00;80.00;83.00;;89.00;93.00;93.00;93.00;94.00;98.00;98.00;97.00;;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;98.00;;;;;;
American Samoa;42.00;52.00;;62.00;60.00;60.00;;53.00;45.00;58.00;44.00;47.00;81.00;77.00;91.00;97.00;74.00;85.00;91.00;91.00;100.00;;;;;;;;99.00;;;100.00;;;;;;;;;;;;;
Andorra;;;;;;;;;;;;;;;;;90.00;90.00;89.00;90.00;98.00;96.00;97.00;99.00;99.10;98.00;93.00;96.00;100.00;99.19;99.29;99.86;98.68;96.32;97.06;96.92;97.85;99.71;100.00;100.00;99.07;98.51;97.58;98.00;
Angola;;;;6.00;;8.00;10.00;10.00;12.00;18.00;24.00;26.00;21.00;30.00;27.00;42.00;28.00;41.00;45.00;22.00;44.00;57.00;65.00;68.00;75.00;62.00;66.00;111.00;100.00;93.00;108.00;101.49;107.00;97.00;99.00;95.00;97.00;91.00;97.10;90.00;84.27;80.32;76.21;91.59;
Anguilla;;78.00;89.00;97.00;85.00;100.00;88.00;92.00;99.00;99.00;99.00;99.00;99.00;99.00;94.00;97.00;99.00;99.00;100.00;96.00;120.11;;;99.00;;;;;;;;;;;;;;93.00;91.00;79.00;86.00;87.83;88.80;108.55;
Antigua and Barbuda;54.00;79.00;79.00;100.00;94.00;100.00;96.00;97.00;98.00;99.00;99.00;94.00;99.00;99.00;99.00;100.00;99.00;99.00;100.00;99.00;95.00;97.00;98.00;100.00;97.00;99.00;100.00;105.00;106.00;100.00;98.40;98.50;97.90;98.70;103.00;103.43;91.92;96.00;100.00;101.00;96.00;92.83;99.00;99.00;
Argentina;62.00;70.00;77.00;70.00;78.00;90.00;67.00;75.00;80.00;92.00;87.00;80.00;99.00;99.00;99.00;99.00;99.00;99.00;99.00;99.00;83.00;83.00;92.50;96.00;98.00;98.10;93.00;94.00;97.20;94.20;94.80;94.40;93.90;94.10;98.00;94.12;91.85;94.00;91.00;87.00;79.10;87.59;89.96;77.00;
Armenia;;;;;;;;;;;;;85.00;85.00;86.00;98.00;86.00;88.00;82.00;91.00;93.30;93.70;93.90;93.80;90.80;90.00;87.00;88.00;96.00;97.00;98.00;98.00;97.96;97.44;96.87;97.26;97.14;96.90;96.19;96.00;96.07;96.01;95.97;96.49;
Aruba;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99.00;99.00;99.00;;97.51;97.18;97.99;
Australia;33.00;;;55.00;;;;;;93.00;95.00;;;;;86.00;86.00;77.00;82.00;88.30;90.00;92.00;92.00;93.00;92.00;92.00;92.00;92.00;92.00;92.29;92.00;91.97;92.19;91.44;91.58;93.00;94.30;94.75;94.61;94.92;95.37;95.00;94.19;93.65;
Austria;;90.00;90.00;90.00;90.00;90.00;90.00;90.00;90.00;90.00;90.00;90.00;90.00;90.00;90.00;90.00;90.00;90.00;;74.00;81.00;84.00;83.00;84.00;97.10;91.00;83.00;85.00;83.00;83.29;;;;;98.00;;95.00;93.70;90.30;88.00;95.00;95.83;90.84;95.00;
Azerbaijan;;;;;;;;;;;;89.00;83.00;91.00;94.00;99.00;99.00;95.00;98.00;99.00;99.00;98.00;97.30;98.10;97.60;95.00;97.00;97.00;97.00;95.90;96.60;95.70;94.90;94.80;96.20;97.20;97.60;96.90;96.30;96.10;84.54;91.96;89.90;91.59;
Bahamas;36.00;55.00;69.00;65.00;69.00;86.00;95.00;77.00;85.00;86.00;87.00;92.00;92.00;91.00;91.00;87.00;85.00;86.00;89.00;82.00;105.25;105.49;94.00;92.00;100.00;99.00;95.00;104.00;100.00;99.60;101.10;104.10;99.00;100.20;96.00;100.00;94.99;98.00;94.00;91.00;96.74;90.63;97.69;98.56;
Bahrain;92.00;59.00;65.00;;83.00;64.00;80.00;88.00;96.00;96.00;94.00;99.00;94.00;94.00;100.00;98.00;96.00;98.00;98.00;97.00;97.60;99.00;100.40;99.00;97.70;99.00;100.00;97.00;100.00;98.00;99.70;99.80;99.76;98.90;99.00;98.10;100.00;98.44;100.00;99.78;99.62;100.00;97.37;99.37;
Bangladesh;;1.00;1.00;1.00;1.00;2.00;4.00;9.00;16.00;49.00;69.00;87.00;98.00;90.00;94.00;91.00;97.00;98.00;78.00;66.20;88.00;87.00;86.00;91.00;97.00;95.00;97.00;98.00;98.00;98.80;99.00;99.00;99.00;92.30;93.20;93.00;94.10;97.90;97.90;99.70;99.70;99.70;;99.70;
Barbados;60.00;58.00;62.00;69.00;83.00;83.00;79.00;79.00;76.00;78.00;95.00;82.00;90.00;86.00;90.00;93.00;85.00;96.00;93.00;87.00;93.60;91.80;87.00;91.35;93.00;92.00;84.00;93.00;85.00;92.50;86.08;90.60;87.00;;98.00;97.02;100.43;90.00;96.00;92.00;85.70;82.81;86.98;90.88;96.74
Belarus;;;;;;;;;;;;;90.00;91.00;92.00;96.00;98.00;98.00;99.00;99.00;99.10;;;85.50;99.00;99.00;99.00;99.00;98.00;97.80;98.40;98.90;98.50;98.90;97.04;99.00;99.00;97.00;97.50;97.70;97.14;97.61;97.93;97.58;
Belgium;;95.00;95.00;95.00;95.00;;95.00;95.00;80.00;94.00;93.00;92.00;95.00;97.00;96.00;94.00;95.00;;79.00;97.00;97.00;97.00;97.00;97.00;96.60;98.00;99.00;99.00;99.40;100.00;100.00;100.00;99.60;99.60;99.61;99.55;99.00;99.10;99.10;98.50;98.50;98.40;98.40;98.40;
Belize;47.00;71.00;61.00;59.00;53.00;58.00;82.00;85.00;61.00;79.00;93.00;94.00;97.00;91.00;90.00;92.00;90.00;86.00;87.00;96.00;91.00;96.00;102.05;98.97;98.00;96.00;98.00;98.00;98.00;99.00;99.50;98.00;98.00;96.00;96.00;96.86;95.35;89.00;97.00;99.00;79.03;83.39;90.60;85.01;
Benin;;;;;;17.00;17.00;25.00;30.00;48.00;78.00;68.00;79.00;77.00;86.00;89.00;80.00;78.00;81.00;89.60;100.00;;110.00;104.00;99.00;106.00;100.00;107.00;105.00;106.00;104.00;100.00;94.00;98.00;94.00;98.00;76.00;86.00;86.00;85.00;76.00;91.00;91.00;91.00;
Bermuda;;66.00;53.00;48.00;40.00;52.00;72.00;89.00;83.00;74.00;62.00;82.00;76.00;65.00;89.00;86.00;98.00;91.00;;58.00;30.00;64.49;;92.12;98.00;;;97.00;;;;;;;;;;92.00;95.00;100.00;92.78;107.59;89.73;98.61;
Bhutan;6.00;13.00;10.00;16.00;53.00;52.00;53.00;63.00;75.00;76.00;84.00;95.00;72.00;75.00;86.00;87.00;87.00;87.00;86.00;88.00;99.00;88.00;86.00;;93.00;97.00;98.00;95.00;97.00;96.00;95.00;95.00;97.00;97.00;99.60;100.00;99.00;99.00;98.00;97.00;95.76;99.06;98.22;98.57;
Bolivia (Plurinational State of);30.00;30.00;31.00;27.00;23.00;33.00;29.00;24.00;39.00;39.00;48.00;67.00;81.00;84.00;92.00;88.00;98.00;88.00;85.00;95.00;98.00;97.40;100.00;100.00;88.00;93.00;87.00;85.00;87.10;87.00;87.00;89.50;85.00;86.20;94.00;97.43;93.45;91.00;89.00;81.00;79.23;74.70;74.83;71.72;
